,ace,berger_parker_d,brillouin_d,chao1,count_range,dominance,doubles,enspie,fisher_alpha,gini_index,goods_coverage,heip_e,hill,inv_simpson,kempton_taylor_q,margalef,max_count,mcintosh_d,mcintosh_e,mean_count,median_count,menhinick,min_count,num_doubletons,num_singletons,observed_features,percent_singletons,pielou_e,renyi,robbins,shannon,simpson_d,simpson_e,singles,std_count,strong,total_count,tsallis,unique_kmers,file_size
SRR1522964,524799.0,0.001767748624572,12.741171725779568,524799.0,54426161.0,4.650671687393462e-05,0.0,21502.2703647452,38619.57449243693,0.3582221199760979,1.0,0.6508392379187183,21502.2703647452,21502.2703647452,333480.4656027041,21730.36004957044,54428730.0,0.9931860767990236,0.0782574658386895,58669.81166503747,46858.0,2.9908122607993364,2569.0,0.0,0.0,524799.0,0.0,0.9673905495692589,9.975913806900882,0.0,12.741279019744338,4.650671687393462e-05,0.040972392029606,0.0,283847.18343928515,0.2518851917399883,30789858492.0,0.999953493283126,524799.0,19444022604
SRR12480158,524799.0,0.0350563287906022,11.442466858487515,524799.0,141464034.0,0.0015726847300235388,0.0,635.8553503505008,46118.32690846768,0.5822560561710293,1.0,0.17770136246210463,635.8553503505008,635.8553503505008,274394.1341539814,23726.807927908416,141464242.0,0.9603580286767958,.,7689.307776882197,3864.0,8.261385291796634,208.0,0.0,0.0,524799.0,0.0,0.8688275644463896,6.45497110091669,0.0,11.443128551943559,0.0015726847300235388,0.0012116169244806123,0.0,220770.64182107913,0.433941172800753,4035341032.0,0.9984273152699764,524799.0,1558445782
ERR594336,524799.0,0.000199397247648,12.445629413292634,524799.0,7435591.0,9.200326217392724e-06,0.0,108691.79813532627,38040.49356557206,0.5894933971852154,1.0,0.4842974165415366,108691.79813532627,108691.79813532627,186704.2197411226,21559.1813913662,7437110.0,0.9969719583140018,0.0410572469058319,71070.93793433295,33556.0,2.717380633758536,1519.0,0.0,0.0,524799.0,0.0,0.9449497636578712,11.596271616125662,0.0,12.445716576172144,9.200326217392724e-06,0.2071112904851691,0.0,139058.09527581892,0.4455759065739041,37297957157.0,0.9999907996737826,524799.0,35090026760
SRR12480362,524799.0,0.0033755343052992,12.458035364830904,524799.0,29319856.0,9.26123388380732e-05,0.0,10797.697289002026,42956.15379455494,0.4483097229704263,1.0,0.4904662707837109,10797.697289002026,10797.697289002026,324996.47938335413,22931.94845275356,29320985.0,0.9903870959427328,0.0649565293459611,16551.71618848359,10969.0,5.6308632977571165,1129.0,0.0,0.0,524799.0,0.0,0.9459107740333468,9.287088176397685,0.0,12.458373823382445,9.26123388380732e-05,0.0205749197102167,0.0,114198.28103583724,0.3230623583501257,8686324104.0,0.999907387661162,524799.0,3783190530
SRR13485158,524799.0,0.0021566462836574,12.264027165440556,524799.0,3274700.0,0.0001133702800887,0.0,8820.653871697923,50938.44388098126,0.4877152025666569,1.0,0.4044914359974738,8820.653871697923,8820.653871697923,268991.0054769816,24823.764828235733,3274744.0,0.9893778419365912,0.0106512293131269,2893.3797320497943,1837.0,13.467710799652153,44.0,0.0,0.0,524799.0,0.0,0.9312779839602068,9.084851281366108,0.0,12.265648701928406,0.0001133702800887,0.0168076804104007,0.0,22129.45828436987,0.3511243250899581,1518442790.0,0.9998866297199112,524799.0,1021853691
SRR17458619,524799.0,0.000346740677627,12.954257305095716,524799.0,904180.0,2.961069632940691e-06,0.0,337715.8000188203,48147.91883422936,0.3611720219347955,1.0,0.8061415906758528,337715.8000188203,337715.8000188203,276735.63864910224,24204.60928014624,904199.0,0.9982987734059384,0.0017211222545935,4968.968344070778,4127.0,10.27692966927556,19.0,0.0,0.0,524799.0,0.0,0.9836383588154244,12.729959992424035,0.0,12.955275188258858,2.961069632940691e-06,0.6435145646596512,0.0,3698.3493703574377,0.2599809199979679,2607709618.0,0.9999970389303672,524799.0,1415024572
ERR9752702,524799.0,0.0038000678209226223,12.250737026199443,524799.0,14548458.0,0.00013894098782024373,0.0,7197.300204125221,46353.32550687499,0.5157965517313738,1.0,0.3987850190004754,7197.300204125221,7197.300204125221,251343.23023002528,23783.376677894714,14548694.0,0.9882286481479503,.,7295.241328584849,4359.0,8.481578146512112,236.0,0.0,0.0,524799.0,0.0,0.930199229704018,8.881461263035424,0.0,12.251440677074372,0.00013894098782024373,0.013714393899617226,0.0,61866.09456806885,0.37450830216605474,3828535354.0,0.9998610590121798,524799.0,2061112479
ERR8263081,524799.0,0.002538453324989925,12.364872121974846,524799.0,20699746.0,3.639231632205701e-05,0.0,27478.327874225204,43199.48859983512,0.5772849978866936,1.0,0.4468418628760835,27478.327874225204,27478.327874225204,201577.38545736755,22995.421415826888,20700060.0,0.9939784027322185,.,15538.511841676527,7996.0,5.811547447217712,314.0,0.0,0.0,524799.0,0.0,0.9388381905498647,10.2211528956576,0.0,12.365222448693487,3.639231632205701e-05,0.05235971843358163,0.0,66104.7288880824,0.4292919686613873,8154595476.0,0.999963607683678,524799.0,3618832970
ERR9581642,524799.0,0.00039363663805197974,12.57965681408472,524799.0,2855032.0,6.506968153829737e-06,0.0,153681.40374429844,43658.276660614785,0.5502888278320386,1.0,0.5539262908542489,153681.40374429844,153681.40374429844,199068.25439505326,23114.0185276277,2855242.0,0.9974608358014191,.,13821.47557445803,7589.0,6.161965949518398,210.0,0.0,0.0,524799.0,0.0,0.9551490088889283,11.9426369316036,0.0,12.580048495516982,6.506968153829737e-06,0.29283859867167894,0.0,21478.281225090785,0.4089398694175414,7253496560.0,0.9999934930318461,524799.0,3878696519
ERR9752724,524799.0,0.004086382152561133,12.151703773358994,524799.0,13331005.0,0.00015246265342453761,0.0,6558.983315182538,47083.899601789446,0.5418756051091802,1.0,0.3612223087248907,6558.983315182538,6558.983315182538,234594.67684491427,23957.13119440468,13331178.0,0.9876697152451306,.,6216.365616169238,3535.0,9.188153131198693,173.0,0.0,0.0,524799.0,0.0,0.92268802206167,8.788590887485428,0.0,12.152512284204496,0.00015246265342453761,0.012498086534430396,0.0,55256.54911842401,0.39503228347104613,3262342459.0,0.9998475373465755,524799.0,1732378537
